)_	2287
0.	2299
02	229a
-T	22a5
.P	22c5
:3	22ee
.3	22ef
Eh	2302
<7	2308
>7	2309
7<	230a
7>	230b
NI	2310
(A	2312
TR	2315
Iu	2320
Il	2321
</	2329
/>	232a
Vs	2423
1h	2440
3h	2441
2h	2442
4h	2443
1j	2446
2j	2447
3j	2448
4j	2449
1.	2488
2.	2489
3.	248a
4.	248b
5.	248c
6.	248d
7.	248e
8.	248f
9.	2490
hh	2500
HH	2501
vv	2502
VV	2503
3-	2504
3_	2505
3!	2506
3/	2507
4-	2508
4_	2509
4!	250a
4/	250b
dr	250c
dR	250d
Dr	250e
DR	250f
dl	2510
dL	2511
Dl	2512
LD	2513
ur	2514
uR	2515
Ur	2516
UR	2517
ul	2518
uL	2519
Ul	251a
UL	251b
vr	251c
vR	251d
Vr	2520
VR	2523
vl	2524
vL	2525
Vl	2528
VL	252b
dh	252c
dH	252f
Dh	2530
DH	2533
uh	2534
uH	2537
Uh	2538
UH	253b
vh	253c
vH	253f
Vh	2542
VH	254b
FD	2571
BD	2572
TB	2580
LB	2584
FB	2588
lB	258c
RB	2590
.S	2591
:S	2592
?S	2593
fS	25a0
OS	25a1
RO	25a2
Rr	25a3
RF	25a4
RY	25a5
RH	25a6
RZ	25a7
RK	25a8
RX	25a9
sB	25aa
SR	25ac
Or	25ad
UT	25b2
uT	25b3
PR	25b6
Tr	25b7
Dt	25bc
dT	25bd
PL	25c0
Tl	25c1
Db	25c6
Dw	25c7
LZ	25ca
0m	25cb
0o	25ce
0M	25cf
0L	25d0
0R	25d1
Sn	25d8
Ic	25d9
Fd	25e2
Bd	25e3
*2	2605
*1	2606
<H	261c
>H	261e
0u	263a
0U	263b
SU	263c
Fm	2640
Ml	2642
cS	2660
cH	2661
cD	2662
cC	2663
Md	2669
M8	266a
M2	266b
Mb	266d
Mx	266e
MX	266f
OK	2713
XX	2717
-X	2720
IS	3000
,_	3001
._	3002
+"	3003
+_	3004
*_	3005
;_	3006
0_	3007
<+	300a
>+	300b
<'	300c
>'	300d
<"	300e
>"	300f
("	3010
)"	3011
=T	3012
=_	3013
('	3014
)'	3015
(I	3016
)I	3017
-?	301c
A5	3041
a5	3042
I5	3043
i5	3044
U5	3045
u5	3046
E5	3047
e5	3048
O5	3049
o5	304a
ka	304b
ga	304c
ki	304d
gi	304e
ku	304f
gu	3050
ke	3051
ge	3052
ko	3053
go	3054
sa	3055
za	3056
si	3057
zi	3058
su	3059
zu	305a
se	305b
ze	305c
so	305d
zo	305e
ta	305f
da	3060
ti	3061
di	3062
tU	3063
tu	3064
du	3065
te	3066
de	3067
to	3068
do	3069
na	306a
ni	306b
nu	306c
ne	306d
no	306e
ha	306f
ba	3070
pa	3071
hi	3072
bi	3073
pi	3074
hu	3075
bu	3076
pu	3077
he	3078
be	3079
pe	307a
ho	307b
bo	307c
po	307d
ma	307e
mi	307f
mu	3080
me	3081
mo	3082
yA	3083
ya	3084
yU	3085
yu	3086
yO	3087
yo	3088
ra	3089
ri	308a
ru	308b
re	308c
ro	308d
wA	308e
wa	308f
wi	3090
we	3091
wo	3092
n5	3093
vu	3094
"5	309b
05	309c
*5	309d
+5	309e
a6	30a1
A6	30a2
i6	30a3
I6	30a4
u6	30a5
U6	30a6
e6	30a7
E6	30a8
o6	30a9
O6	30aa
Ka	30ab
Ga	30ac
Ki	30ad
Gi	30ae
Ku	30af
Gu	30b0
Ke	30b1
Ge	30b2
Ko	30b3
Go	30b4
Sa	30b5
Za	30b6
Si	30b7
Zi	30b8
Su	30b9
Zu	30ba
Se	30bb
Ze	30bc
So	30bd
Zo	30be
Ta	30bf
Da	30c0
Ti	30c1
Di	30c2
TU	30c3
Tu	30c4
Du	30c5
Te	30c6
De	30c7
To	30c8
Do	30c9
Na	30ca
Ni	30cb
Nu	30cc
Ne	30cd
No	30ce
Ha	30cf
Ba	30d0
Pa	30d1
Hi	30d2
Bi	30d3
Pi	30d4
Hu	30d5
Bu	30d6
Pu	30d7
He	30d8
Be	30d9
Pe	30da
Ho	30db
Bo	30dc
Po	30dd
Ma	30de
Mi	30df
Mu	30e0
Me	30e1
Mo	30e2
YA	30e3
Ya	30e4
YU	30e5
Yu	30e6
YO	30e7
Yo	30e8
Ra	30e9
Ri	30ea
Ru	30eb
Re	30ec
Ro	30ed
WA	30ee
Wa	30ef
Wi	30f0
We	30f1
Wo	30f2
N6	30f3
Vu	30f4
KA	30f5
KE	30f6
Va	30f7
Vi	30f8
Ve	30f9
Vo	30fa
.6	30fb
-6	30fc
*6	30fd
+6	30fe
b4	3105
p4	3106
m4	3107
f4	3108
d4	3109
t4	310a
n4	310b
l4	310c
g4	310d
k4	310e
h4	310f
j4	3110
q4	3111
x4	3112
zh	3113
ch	3114
sh	3115
r4	3116
z4	3117
c4	3118
s4	3119
a4	311a
o4	311b
e4	311c
ai	311e
ei	311f
au	3120
ou	3121
an	3122
en	3123
aN	3124
eN	3125
er	3126
i4	3127
u4	3128
iu	3129
v4	312a
nG	312b
gn	312c
1c	3220
2c	3221
3c	3222
4c	3223
5c	3224
6c	3225
7c	3226
8c	3227
9c	3228
ff	fb00
fi	fb01
fl	fb02
ft	fb05
st	fb06
